id,naziv,lat,lon,grad,podrucje,zupanija,konacna_ocjena
1,AC Indije,44.82464,13.84613,Medulin,Banjole,Istarska,izvrsno
2,Banjole - Centener sumica,44.81886,13.85404,Medulin,Banjole,Istarska,izvrsno
3,Banjole - Odmaraliste Centener,44.82099,13.85421,Medulin,Banjole,Istarska,izvrsno
4,Banjole - Uvala,44.82155,13.84998,Medulin,Banjole,Istarska,izvrsno
5,Fratarski otok - prema kopnu,44.83007,13.84385,Pula,Banjole,Istarska,izvrsno
6,Barban - Blaz,45.00671666,14.04154444,Barban,Barban,Istarska,izvrsno
7,Barbariga - Mandriol,44.98713888,13.73994444,Vodnjan,Barbariga,Istarska,izvrsno
8,Hotel Pical - Bungalovi,45.23791,13.5929,Poreč,Borik,Istarska,izvrsno
9,Hotel Pical - Plaza Borik,45.23545,13.59498,Poreč,Borik,Istarska,izvrsno
10,Brestova - Uz pristaniste,45.14423,14.22297,Kršan,Brestova,Istarska,izvrsno
11,Nacionalni park Brijuni - Centralna plaza - drveni molo,44.91663,13.7778,Pula,Brijuni,Istarska,izvrsno
12,Hotel Rubin - Plaza Brulo,45.21582,13.59346,Poreč,Brulo,Istarska,izvrsno
13,Uvala Brulo - Plaza,45.21499,13.59086,Poreč,Brulo,Istarska,izvrsno
14,Crveni otok - Ispod vanjskih bazena,45.05786,13.62265,Rovinj,Crveni otok,Istarska,izvrsno
15,Crveni otok - Prema rtu Kurent,45.06036,13.62798,Rovinj,Crveni otok,Istarska,izvrsno
16,Crveni otok - Uvala istocno od nasipa,45.05753,13.62792,Rovinj,Crveni otok,Istarska,izvrsno
17,Crveni otok - Uvala zapadno od nasipa,45.0577,13.62531,Rovinj,Crveni otok,Istarska,izvrsno
18,Crveni otok - Zapadna strana otoka,45.05948,13.61885,Rovinj,Crveni otok,Istarska,izvrsno
19,"Otok Maskin - FKK, juzna strana otoka",45.05436,13.62427,Rovinj,Crveni otok,Istarska,izvrsno
20,CČervar - Porat,45.27621,13.59429,Poreč,Červar,Istarska,izvrsno
21,CČervar - Puntica Larun,45.27842,13.59573,Tar-Vabriga,Červar,Istarska,izvrsno
22,Duga Uvala - Hotel Croatia,44.92636,14.02701,Marčana,Duga Uvala,Istarska,izvrsno
23,Fazana - Djecje igraliste,44.92356,13.80156,Fažana,Fažana,Istarska,izvrsno
24,Fazana - Sjever,44.93007336177714,13.801698088645935,Fažana,Fažana,Istarska,izvrsno
25,AC Finida - Sredina,45.3918,13.53539,Umag,Finida,Istarska,izvrsno
26,AC Istra - Plaza Istra,45.17263,13.59253,Funtana,Funtana,Istarska,izvrsno
27,AC Puntica - Prema ribarskoj luci,45.17873,13.59865,Funtana,Funtana,Istarska,izvrsno
28,TN Funtana - Uvala Frnazine,45.17216,13.59595,Funtana,Funtana,Istarska,izvrsno
29,Hotel Girandella - Ispod restorana,45.07678,14.17062,Labin,Girandela,Istarska,izvrsno
30,Hotel Neptun - Ispod hotela,45.07798,14.17293,Labin,Girandela,Istarska,izvrsno
31,AC Kanegra - Bullea,45.4849,13.5679,Buje,Kanegra,Istarska,izvrsno
32,AC Kanegra - Ispod restorana,45.48854,13.56096,Buje,Kanegra,Istarska,izvrsno
33,AC Kanegra - Market,45.48663,13.56524,Buje,Kanegra,Istarska,izvrsno
34,TN Alberi - Skiper,45.49895,13.53377,Umag,Kanegra,Istarska,izvrsno
35,Karigador - Molo,45.35886,13.5465,Brtonigla,Karigador,Istarska,izvrsno
36,Otok Katarina - Prema marini,45.0782,13.63361,Rovinj,Katarina O.,Istarska,izvrsno
37,Otok Katarina - Uvala Lone,45.07594,13.62871,Rovinj,Katarina O.,Istarska,izvrsno
38,Katoro - Hotel Aurora,45.45615,13.51234,Umag,Katoro,Istarska,izvrsno
39,Katoro - Hotel Koralj,45.46239,13.51135,Umag,Katoro,Istarska,izvrsno
40,"Katoro - TN Polynesia, FKK",45.46594,13.50525,Umag,Katoro,Istarska,izvrsno
41,Katoro - Velestrin,45.46128,13.50948,Umag,Katoro,Istarska,izvrsno
42,AC Kazela - FKK,44.80401,13.95941,Medulin,Kazela,Istarska,izvrsno
43,AC Kazela - FKK III,44.80244,13.96454,Medulin,Kazela,Istarska,izvrsno
44,AC Kazela - Textil Strand,44.80391,13.95533,Medulin,Kazela,Istarska,izvrsno
45,Kolone - Uvala Sv. Jakov,45.00795,13.72023,Bale,Kolone,Istarska,izvrsno
46,Kolone - Uvala Sv. Pavao,45.02202,13.71285,Bale,Kolone,Istarska,izvrsno
47,Skaraba - Rt Rusi,45.06411,13.6427,Rovinj,Koronsun U.,Istarska,izvrsno
48,AC Koversada - Djecja plaza,45.1313,13.60835,Vrsar,Koversada,Istarska,izvrsno
49,AC Koversada - Pjescana plaza,45.13552,13.60067,Vrsar,Koversada,Istarska,izvrsno
50,AC Koversada - Rt Fujaga,45.13052,13.61074,Vrsar,Koversada,Istarska,izvrsno
51,Uvala Kuvi - Plaza,45.06567,13.65073,Rovinj,Kuvi,Istarska,izvrsno
52,AC Ladin Gaj - FKK (juzni dio),45.36733,13.53859,Brtonigla,Ladin Gaj,Istarska,izvrsno
53,Uvala Kanova - Ispod restorana,45.3717,13.5415,Brtonigla,Ladin Gaj,Istarska,izvrsno
54,Rt Malin - Ispod kafica Plaja,45.37275,13.53844,Umag,Ladin Gaj,Istarska,izvrsno
55,Hotel Lanterna - Ispod hotela (istok),45.07369,14.1675,Labin,Lanterna,Istarska,izvrsno
56,Hotel Lanterna - Ispod hotela (zapad),45.07259,14.16462,Labin,Lanterna,Istarska,izvrsno
57,Hotel Marina - Ispod hotela,45.0736,14.16322,Labin,Lanterna,Istarska,izvrsno
58,Hotel Merkur - Ispod hotela,45.07584,14.16917,Labin,Lanterna,Istarska,izvrsno
59,Hotel St. Andrea - Ispod hotela,45.0735,14.16077,Labin,Lanterna,Istarska,izvrsno
60,AC Lanterna - Plaza Valeta,45.29829,13.58924,Tar-Vabriga,Lanterna,Istarska,izvrsno
61,Lanterna - Debeli rt,45.30112,13.57598,Tar-Vabriga,Lanterna,Istarska,izvrsno
62,Lanterna - Rt Zub,45.29881,13.56808,Tar-Vabriga,Lanterna,Istarska,izvrsno
63,Lanterna - Uvala Valeta - sport,45.29942,13.58176,Tar-Vabriga,Lanterna,Istarska,izvrsno
64,TN Lanterna - Plaza Crnika,45.29472,13.57272,Tar-Vabriga,Lanterna,Istarska,izvrsno
65,TN Solaris - Plaza Galeb,45.28939,13.58059,Tar-Vabriga,Lanterna,Istarska,izvrsno
66,TN Solaris - Plaza Valetica,45.28307,13.59013,Tar-Vabriga,Lanterna,Istarska,izvrsno
67,TN Solaris - Uvala pod Ravnice,45.29147,13.57664,Tar-Vabriga,Lanterna,Istarska,izvrsno
68,Lone - Ispod hotela Monte Mulini,45.07198,13.63524,Rovinj,Lone U.,Istarska,izvrsno
69,Monte Mulini - Do lukobrana,45.07332,13.63437,Rovinj,Lone U.,Istarska,izvrsno
70,Lovrecica - Molo,45.381,13.53602,Umag,Lovreica,Istarska,izvrsno
71,Uvala Slanik,45.37907,13.54005,Umag,Lovreica,Istarska,izvrsno
72,AC Mareda - Ispod restorana,45.34198,13.54133,Novigrad,Mareda,Istarska,izvrsno
73,Mareda - Caffe Macumba,45.34478,13.53882,Novigrad,Mareda,Istarska,izvrsno
74,Rt Sv. Martin - Prema uvali Sv. Martin,45.25103,13.59093,Poreč,Materada,Istarska,izvrsno
75,AC Medulin - Mali poluotok (punta),44.80303,13.93141,Medulin,Medulin,Istarska,izvrsno
76,AC Medulin - Markovi brigi,44.80745,13.93201,Medulin,Medulin,Istarska,izvrsno
77,AC Medulin - Restoran Financa,44.80784,13.92623,Medulin,Medulin,Istarska,izvrsno
78,AC Medulin - Spoj mali poluotok,44.80509,13.92866,Medulin,Medulin,Istarska,izvrsno
79,AC Medulin - Skrape,44.80571,13.93092,Medulin,Medulin,Istarska,izvrsno
80,AC Medulin - Ulaz,44.81051,13.92679,Medulin,Medulin,Istarska,izvrsno
81,Hotel Belvedere - Molo,44.81019,13.9406,Medulin,Medulin,Istarska,izvrsno
82,Hotel Holiday - Ispod hotela,44.81109,13.93801,Medulin,Medulin,Istarska,izvrsno
83,Posesi - Posesi,44.8087,13.94187,Medulin,Medulin,Istarska,izvrsno
84,Uvala Bijeca - Plaza,44.80909,13.93345,Medulin,Medulin,Istarska,izvrsno
85,AC Amarin - Ispod restorana,45.10505,13.6128,Rovinj,Monsena,Istarska,izvrsno
86,AC Amarin - Molo,45.10359,13.61674,Rovinj,Monsena,Istarska,izvrsno
87,AC Amarin - pjescana plaza,45.10319,13.61891,Rovinj,Monsena,Istarska,izvrsno
88,TN Valdaliso - Rt Barabiga,45.09932,13.62285,Rovinj,Monsena,Istarska,izvrsno
89,Novigrad - Karpinjan,45.32173,13.55782,Novigrad,Novigrad,Istarska,izvrsno
90,Novigrad - Rivarela,45.31313888,13.5635,Novigrad,Novigrad,Istarska,izvrsno
91,Novigrad - Sv. Pelagij,45.3179,13.55823,Novigrad,Novigrad,Istarska,izvrsno
92,Novigrad - Zidine,45.31333,13.55994,Novigrad,Novigrad,Istarska,izvrsno
93,Pelegrin - Pelegrin,45.40580555,13.52441666,Umag,Pelegrin,Istarska,izvrsno
94,Spina - Spina,45.40148,13.52897,Umag,Pelegrin,Istarska,izvrsno
95,Peroj - Bozinka,44.94615532,13.78809195,Vodnjan,Peroj,Istarska,izvrsno
96,TN Petalon - Kamenita plaza,45.1397,13.59743,Vrsar,Petalon,Istarska,izvrsno
97,Pineta - jug,45.32638888,13.54580555,Novigrad,Pineta,Istarska,izvrsno
98,Pjescana Uvala - Plaza,44.83715,13.84575,Medulin,Pjeana uvala,Istarska,nezadovoljavajuće
99,Hotel Galiot - Ispod hotela,45.20804,13.5874,Poreč,Plava laguna,Istarska,izvrsno
100,Hotel Galiot - Prema uvali,45.2104,13.5883,Poreč,Plava laguna,Istarska,izvrsno
101,Restoran Istarska hiza - Plaza,45.21185,13.59001,Poreč,Plava laguna,Istarska,izvrsno
102,Plominski zaljev - Drazine istok,45.13265,14.18198,Kršan,Plomin,Istarska,izvrsno
103,Plominski zaljev - Drazine zapad,45.13315,14.17935,Kršan,Plomin,Istarska,izvrsno
104,AC Polari - Plaza Polari,45.05996,13.66984,Rovinj,Polari,Istarska,izvrsno
105,AC Polari - Prema rtu Bili Runci,45.05463,13.67431,Rovinj,Polari,Istarska,izvrsno
106,AC Polari - Prema rtu Eva,45.05535,13.67143,Rovinj,Polari,Istarska,izvrsno
107,Pomer - AC Pomer,44.81698,13.89939,Medulin,Pomer,Istarska,izvrsno
108,Pomer - Plaza prema ACY Marini,44.81848,13.90315,Medulin,Pomer,Istarska,izvrsno
109,Gradska plaza,45.22193,13.59246,Poreč,Poreč,Istarska,izvrsno
110,Hotel Riviera - Ispod hotela,45.22831,13.58834,Poreč,Poreč,Istarska,zadovoljavajuće
111,Peskera - Lijeva strana uvale,45.23003,13.59099,Poreč,Poreč,Istarska,dobro
112,Rt Bara - Plaza,45.21755,13.59124,Poreč,Poreč,Istarska,izvrsno
113,Sv. Duh - Bunker,45.2194,13.59158,Poreč,Poreč,Istarska,izvrsno
114,AC Stupice - Juzno od poluotoka,44.79358,13.91862,Medulin,Premantura,Istarska,zadovoljavajuće
115,AC Stupice - Poluotok,44.79787,13.9207,Medulin,Premantura,Istarska,izvrsno
116,AC Stupice - Rt Munat,44.80395,13.92435,Medulin,Premantura,Istarska,izvrsno
117,TN Punta - Hotel Adriatic,45.43937,13.51052,Umag,Punta,Istarska,izvrsno
118,TN Punta - Hotel Sipar,45.44471,13.50953,Umag,Punta,Istarska,izvrsno
119,TN Punta - Hotel Umag,45.4462,13.51198,Umag,Punta,Istarska,izvrsno
120,Hotel Eden - Ispod hotela,45.06976,13.63545,Rovinj,Punta Corrente,Istarska,izvrsno
121,Punta Corrente - Rt Kurent,45.06282,13.63132,Rovinj,Punta Corrente,Istarska,izvrsno
122,Punta Corrente - Uvala Lone,45.06972,13.63112,Rovinj,Punta Corrente,Istarska,izvrsno
123,Skaraba - Uvala Velika Skaraba,45.06427,13.63902,Rovinj,Punta Corrente,Istarska,izvrsno
124,Puntizela - Monte Cristo Beach,44.89592,13.80264,Pula,Puntiela,Istarska,izvrsno
125,Puntizela - Plaza Golubine,44.89527,13.80118,Pula,Puntiela,Istarska,izvrsno
126,Rabac naselje - AC Maslinica I,45.07814,14.15244,Labin,Rabac,Istarska,izvrsno
127,Rabac naselje - AC Maslinica II,45.07653,14.15274,Labin,Rabac,Istarska,izvrsno
128,TN Ravni - Pozicija I,44.99737,14.16915,Raša,Ravni,Istarska,izvrsno
129,TN Ravni - Pozicija II,44.99588,14.17044,Raša,Ravni,Istarska,izvrsno
130,Hotel Rovinj - Ispod hotela,45.08219,13.62975,Rovinj,Rovinj - Stari grad,Istarska,izvrsno
131,AC Basanija - Plaza Feral,45.48574,13.48861,Umag,Savudrija,Istarska,izvrsno
132,AC Borozija,45.49544,13.49489,Umag,Savudrija,Istarska,izvrsno
133,Hotel Moj Mir - Ispod hotela,45.48216,13.49347,Umag,Savudrija,Istarska,izvrsno
134,TN Punta - Villa Rita,45.44766,13.51297,Umag,Stella Maris,Istarska,izvrsno
135,TN Stella Maris - Laguna ispod aquagana,45.44849,13.51869,Umag,Stella Maris,Istarska,izvrsno
136,TN Stella Maris - Restoran,45.44915,13.51151,Umag,Stella Maris,Istarska,izvrsno
137,TN Stella Maris - Uvala Krapan,45.45399,13.51379,Umag,Stella Maris,Istarska,izvrsno
138,TN Stella Maris- Jezero,45.45222,13.51069,Umag,Stella Maris,Istarska,izvrsno
139,AC Stoja - Prema gradskoj plazi,44.85407,13.81615,Pula,Stoja,Istarska,izvrsno
140,AC Stoja - Prema pucini,44.85619,13.81092,Pula,Stoja,Istarska,izvrsno
141,AC Stoja - Prema Valovinama,44.85817,13.81093,Pula,Stoja,Istarska,izvrsno
142,Stoja - Gradska plaza,44.85812,13.81724,Pula,Stoja,Istarska,izvrsno
143,Stoja - Naselje Zelenika,44.85894,13.82078,Pula,Stoja,Istarska,izvrsno
144,Valkane - Sredina uvale,44.85654,13.82475,Pula,Stoja,Istarska,izvrsno
145,Valovine,44.86026,13.8106,Pula,Stoja,Istarska,izvrsno
146,AC Marina - Crkvica,45.03111,14.16058,Raša,Sv. Marina,Istarska,izvrsno
147,AC Marina - Pozicija II,45.03169,14.15765,Raša,Sv. Marina,Istarska,izvrsno
148,AC Marina - Uvala,45.033,14.15627,Raša,Sv. Marina,Istarska,izvrsno
149,Otok Sv. Nikola - Istok,45.22436,13.5884,Poreč,Sv. Nikola O.,Istarska,izvrsno
150,Otok Sv. Nikola - Plaza Oliva,45.22213,13.58856,Poreč,Sv. Nikola O.,Istarska,izvrsno
151,Hotel Materada - Juzni dio,45.24613,13.59234,Poreč,Špadiči,Istarska,izvrsno
152,Hotel Materada - Sjeverni dio,45.24736,13.59036,Poreč,Špadiči,Istarska,izvrsno
153,Spadici - Uvala Srgulje (juzni dio),45.23991,13.59536,Poreč,Špadiči,Istarska,izvrsno
154,Spadici - Uvala Srgulje (sjeverni dio),45.24323,13.59792,Poreč,Špadiči,Istarska,izvrsno
155,Spadici - Uvala Srgulje (sredina),45.2417,13.59731,Poreč,Špadiči,Istarska,izvrsno
156,TN Tere - AC Sirena,45.31348,13.5767,Novigrad,Tere,Istarska,izvrsno
157,TN Tere - Hotel Laguna,45.31356,13.57509,Novigrad,Tere,Istarska,izvrsno
158,TN Tere - Hotel Maestral,45.31346,13.57281,Novigrad,Tere,Istarska,izvrsno
159,AC Tunarica - Lijeva strana uvale,44.97097,14.09685,Raša,Tunarica,Istarska,izvrsno
160,AC Ulika - Rt Frnaze,45.25406,13.58023,Poreč,Ulika,Istarska,izvrsno
161,AC Ulika - Rt Silok - sjeverni dio,45.25743,13.57541,Poreč,Ulika,Istarska,izvrsno
162,AC Ulika - Uvala Busuja,45.25959,13.57691,Poreč,Ulika,Istarska,izvrsno
163,AC Ulika - Uvala Frnaze,45.25478,13.57652,Poreč,Ulika,Istarska,izvrsno
164,Moela,45.42661,13.51719,Umag,Umag,Istarska,izvrsno
165,Moela - Gradska plaza,45.43145,13.51709,Umag,Umag,Istarska,izvrsno
166,AC Valalta - Ispod aquagana,45.12268,13.62297,Rovinj,Valalta,Istarska,izvrsno
167,AC Valalta - Rt Feliks,45.12826,13.62284,Rovinj,Valalta,Istarska,izvrsno
168,AC Valalta - Uvala prema marini,45.1253,13.62081,Rovinj,Valalta,Istarska,izvrsno
169,AC Bi Village - Plaza Bival,44.91519,13.80338,Fažana,Valbandon,Istarska,izvrsno
170,Valbandon - Plaza,44.91241,13.80771,Fažana,Valbandon,Istarska,izvrsno
171,AC Valkanela - Prema otocima Salamun,45.16215,13.6008,Vrsar,Valkanela,Istarska,izvrsno
172,AC Valkanela - Uvala Valkanela,45.16484,13.59989,Vrsar,Valkanela,Istarska,izvrsno
173,Gortanova uvala - Sredina uvale,44.85303,13.82865,Pula,Veruda,Istarska,izvrsno
174,Hotel Splendid - Ispod hotela,44.84863,13.83119,Pula,Veruda,Istarska,izvrsno
175,Lungomare - Punta prema Mornaru,44.85112,13.82955,Pula,Veruda,Istarska,izvrsno
176,Valsaline - Uvala F.S.,44.84981,13.83514,Pula,Veruda,Istarska,izvrsno
177,Zlatne Stijene - Plaza,44.84587,13.83079,Pula,Veruda,Istarska,izvrsno
178,Hotel Brioni - Ispod hotela,44.83935,13.82865,Pula,Verudela,Istarska,izvrsno
179,Hotel Histria - Ispod hotela,44.83545,13.84157,Pula,Verudela,Istarska,izvrsno
180,Hotel Park - Ispod hotela,44.83474,13.83006,Pula,Verudela,Istarska,izvrsno
181,Punta Verudela - Kod aquagana,44.83452,13.8372,Pula,Verudela,Istarska,izvrsno
182,Uvala Sv. Ivan - Plaza Ambrela,44.83997,13.83119,Pula,Verudela,Istarska,izvrsno
183,Verudela - Svjetionik,44.83323,13.83188,Pula,Verudela,Istarska,izvrsno
184,AC Vestar - Sjeverna strana uvale,45.05051,13.68698,Rovinj,Vetar,Istarska,izvrsno
185,AC Vestar - Uvala sredina,45.04937,13.68765,Rovinj,Vetar,Istarska,izvrsno
186,TN Villas Rubin - Ispod Zabavnog centra,45.06202,13.66121,Rovinj,Villas Rubin,Istarska,izvrsno
187,TN Villas Rubin - Mali molo,45.06432,13.65756,Rovinj,Villas Rubin,Istarska,izvrsno
188,AC Orsera - Plaza Vala,45.15595,13.6067,Vrsar,Vrsar,Istarska,izvrsno
189,AC Portosole - Uvala Brizine,45.14293,13.59963,Vrsar,Vrsar,Istarska,izvrsno
190,Montraker - Montraker,45.15254,13.59726,Vrsar,Vrsar,Istarska,izvrsno
191,TN Belveder - Hotel Panorama,45.14553,13.5968,Vrsar,Vrsar,Istarska,izvrsno
192,Val de la fontana - Gradska plaza,45.15445,13.60325,Vrsar,Vrsar,Istarska,izvrsno
193,Zambratija - Molo,45.47131,13.50691,Umag,Zambratija,Istarska,izvrsno
194,AC Bijela uvala - Juzni dio,45.1881,13.58822,Funtana,Zelena laguna,Istarska,izvrsno
195,AC Bijela uvala - Sjeverni dio,45.1898,13.58702,Funtana,Zelena laguna,Istarska,izvrsno
196,AC Bijela uvala - Uvala Crljena zemlja,45.18512,13.58906,Funtana,Zelena laguna,Istarska,izvrsno
197,AC Zelena Laguna - Plaza,45.19392,13.58311,Funtana,Zelena laguna,Istarska,izvrsno
198,Hotel Delfin - Ispod hotela,45.19533,13.58098,Funtana,Zelena laguna,Istarska,izvrsno
199,Debeli rt - Plaza,45.19842,13.57942,Poreč,Zelena laguna,Istarska,izvrsno
200,Hotel Parentium - Ispod hotela,45.20633,13.58719,Poreč,Zelena laguna,Istarska,izvrsno
201,Hotel Parentium - Restoran Villa Romana,45.20284,13.5864,Poreč,Zelena laguna,Istarska,izvrsno
202,Hoteli Lotos - Ispod hotela,45.20117,13.58826,Poreč,Zelena laguna,Istarska,izvrsno
203,Cres - Vila Riviera,44.95637119900423,14.404900074005127,Cres,Cres,Primorsko-goranska,izvrsno
204,Porozina - plaza,45.13573680294561,14.28971529006958,Cres,Cres,Primorsko-goranska,izvrsno
205,Valun - plaza,44.903258131516175,14.363594055175781,Cres,Cres,Primorsko-goranska,izvrsno
206,Hotel Marina - plaza,45.163052321648806,14.710135459899902,Crikvenica,Crikvenica,Primorsko-goranska,izvrsno
207,Plaza Balustrada,45.1741576781254,14.6864336747528,Crikvenica,Crikvenica,Primorsko-goranska,izvrsno
208,Zagori kupaliste - istok,45.130438649691385,14.766268730163574,Novi Vinodolski,Crikvenica,Primorsko-goranska,izvrsno
209,Klimno - mali Skojic,45.15975577,14.62653841,Dobrinj,Krk,Primorsko-goranska,izvrsno
210,Silo - plaza Pecine,45.14733083,14.66755322,Dobrinj,Krk,Primorsko-goranska,izvrsno
211,Pinezici - plaza,45.0399535,14.47353397,Krk,Krk,Primorsko-goranska,izvrsno
212,Plaza kampa Glavotok,45.0959195,14.44224166,Krk,Krk,Primorsko-goranska,izvrsno
213,Porat - hotel Pinia,45.12479179029764,14.49098825454712,Malinska,Krk,Primorsko-goranska,izvrsno
214,Buffet Riva,45.2109252457411,14.549321866245,Omišalj,Krk,Primorsko-goranska,izvrsno
215,Hotel Adriatic - plaza,45.215809336783,14.5505558061223,Omišalj,Krk,Primorsko-goranska,izvrsno
216,Kraj uvale Omišsalj,45.2085594687948,14.5494889954332,Omišalj,Krk,Primorsko-goranska,izvrsno
217,Mariborsko odmaraliste,45.2244097042932,14.5494220553632,Omišalj,Krk,Primorsko-goranska,izvrsno
218,Naselje Sjever,45.2191925745082,14.5506892703427,Omišalj,Krk,Primorsko-goranska,izvrsno
219,Uvala Mali Kijac,45.2278755249497,14.5461563262093,Omišalj,Krk,Primorsko-goranska,izvrsno
220,Plaza Hotela Jadran,45.166724860631,14.5441880039376,"Omiššalj, Njivice",Krk,Primorsko-goranska,izvrsno
221,Stara Baska - kamp,44.96515471056169,14.674590826034546,Punat,Krk,Primorsko-goranska,izvrsno
222,Stara Baska - naselje,44.95405173278521,14.68921959400177,Punat,Krk,Primorsko-goranska,izvrsno
223,Vrbnik - plaza Zgribnica,45.07601653,14.67912069,Vrbnik,Krk,Primorsko-goranska,izvrsno
224,AK Poljana - plaza,44.5572860296766,14.4453265373645,Mali Lošinj,Mali Lošinj,Primorsko-goranska,izvrsno
225,Cikat - uvala Blatina,44.530841008524725,14.451398849487305,Mali Lošinj,Mali Lošinj,Primorsko-goranska,izvrsno
226,Srebrna uvala,44.54188037,14.44403925,Mali Lošinj,Mali Lošinj,Primorsko-goranska,izvrsno
227,Medveja - kraj plaze,45.2689065629372,14.269952774047852,Lovran,Opatija,Primorsko-goranska,izvrsno
228,Rajska plaza - kraj,44.8217082062708,14.7451233259988,Lopar,Rab,Primorsko-goranska,izvrsno
229,Rajska plaza - pocetak,44.8189862733854,14.7400951492512,Lopar,Rab,Primorsko-goranska,izvrsno
230,Barbat - istok,44.72783281640604,14.808669090270996,Rab,Rab,Primorsko-goranska,izvrsno
231,Barbat - sredina,44.73652168167131,14.79682445526123,Rab,Rab,Primorsko-goranska,izvrsno
232,Barbat - zapad,44.74316702027063,14.789142608642578,Rab,Rab,Primorsko-goranska,izvrsno
233,Pudarica - javna plaza,44.7069252,14.83126964,Rab,Rab,Primorsko-goranska,izvrsno
234,Baškarac - uvala Dobra,45.28497227159632,14.578213691711426,Kraljevica,Rijeka,Primorsko-goranska,izvrsno
235,Uvala Crisnjeva,45.24697496731469,14.584136009216309,Kraljevica,Rijeka,Primorsko-goranska,izvrsno
236,Glavanovo istok,45.3152111521185,14.4687727728876,Rijeka,Rijeka,Primorsko-goranska,izvrsno
237,Glavanovo zapad,45.3154111152885,14.4679729115691,Rijeka,Rijeka,Primorsko-goranska,izvrsno
238,Baska - kraj plaze,44.9597377688978,14.750264723461,Baška,,Primorsko-goranska,izvrsno
239,Baska - plaza izvan lukobrana,44.9685438823064,14.7628482912122,Baška,,Primorsko-goranska,izvrsno
240,Baska - pocetak plaze,44.9682097574462,14.7541539386159,Baška,,Primorsko-goranska,izvrsno
241,Baska - Rt Kricin,44.9662376757973,14.7692092059977,Baška,,Primorsko-goranska,izvrsno
242,Baska - uvala Bunculuka,44.9672097743286,14.7721540057166,Baška,,Primorsko-goranska,izvrsno
243,Baska - Zablace,44.9636550245455,14.751569980253,Baška,,Primorsko-goranska,izvrsno
244,AK Kovacine,44.9610740511433,14.3907327432136,Cres,,Primorsko-goranska,izvrsno
245,Cres - ispod zabavnog centra,44.9574909194209,14.3987607737122,Cres,,Primorsko-goranska,izvrsno
246,Cres - kod Sv. Nikole,44.9570187343595,14.4007611168615,Cres,,Primorsko-goranska,izvrsno
247,Kupaliste Grabar,44.9531576211097,14.4132051168754,Cres,,Primorsko-goranska,izvrsno
248,Martinscica - Centar,44.8177955916597,14.3510910068881,Cres,,Primorsko-goranska,izvrsno
249,Martinscica - pod Stalicom,44.8145725400295,14.3596192695058,Cres,,Primorsko-goranska,izvrsno
250,Martinscica - punta Zaglav,44.8061004273327,14.3628689477018,Cres,,Primorsko-goranska,izvrsno
251,Martinscica - Veli Zal,44.8169615393915,14.3555910698399,Cres,,Primorsko-goranska,izvrsno
252,Miholascica - plaza,44.8038785479774,14.3668407488074,Cres,,Primorsko-goranska,izvrsno
253,Rt Kovacine,44.9593238301219,14.3906498095869,Cres,,Primorsko-goranska,izvrsno
254,Rt uvale Slatina,44.82055655,14.33634741,Cres,,Primorsko-goranska,izvrsno
255,Slatina - uvala Tiha,44.8164618813566,14.3418969428766,Cres,,Primorsko-goranska,izvrsno
256,Stara Gavza - plaza,44.9695740609009,14.3913162031685,Cres,,Primorsko-goranska,izvrsno
257,Uvala Drazica,44.9525188390224,14.4035389987872,Cres,,Primorsko-goranska,izvrsno
258,Uvala Kimen,44.9585739653122,14.3979268836306,Cres,,Primorsko-goranska,izvrsno
259,Uvala Slatina,44.82311821,14.33757612,Cres,,Primorsko-goranska,izvrsno
260,Glavna plaza istok-zal kod male luc.,45.1761578645146,14.6844616821666,Crikvenica,,Primorsko-goranska,izvrsno
261,Glavna plaza sredina,45.1780738941422,14.6827678170826,Crikvenica,,Primorsko-goranska,izvrsno
262,Glavna plaza zapad,45.1814349025095,14.6791567272418,Crikvenica,,Primorsko-goranska,izvrsno
263,Glavna plaza-kod skakaonice,45.1808240144688,14.6799617697843,Crikvenica,,Primorsko-goranska,izvrsno
264,Hotel Amabilis - plaza,45.1620185179327,14.7122119007381,Crikvenica,,Primorsko-goranska,izvrsno
265,Hotel Internacional,45.1716577949854,14.6901007222066,Crikvenica,,Primorsko-goranska,dobro
266,Hotel Kastel,45.1707125912235,14.6941289545533,Crikvenica,,Primorsko-goranska,izvrsno
267,Hotel Omorika,45.1870469553301,14.6737118727055,Crikvenica,,Primorsko-goranska,izvrsno
268,Jadranovo - uvala Grabova,45.23174474585955,14.61108684539795,Crikvenica,,Primorsko-goranska,izvrsno
269,Jadranovo - uvala Havisce,45.2186588765182,14.6146567986932,Crikvenica,,Primorsko-goranska,izvrsno
270,Jadranovo - uvala kod tunere,45.2250478559696,14.6119897541011,Crikvenica,,Primorsko-goranska,izvrsno
